Block,Floor,Start Location,Transition
A,F1,Main Stair - Down Left,"[{'af0': 'Main Stair'}]"
A,F1,Main Stair - Down Right,"[{'af0': 'Main Stair'}]"
B,F1,Main Stair - Down,"[{'bf0': 'Main Stair'}]"
B,F1,Back Stair,"[{'bf0': 'Back Stair'}, {'bf2': 'Back Stair'}]"
B,F1,Right Stair,"[{'bf0': 'Right Stair'}, {'bf2': 'Right Stair'}]"
B,F1,Front Stair,"[{'bf2': 'Right Stair'}]"
B,F1,Lift,"[{'bf0': 'Lift'}, {'bf2': 'Lift'}]"
A,F1,Linkbridge,"[{'bf2': 'Linkbridge'}]"
B,F0,Right Stair,"[{'bf1': 'Right Stair'}, {'bf2': 'Right Stair'}]"
B,F0,Back Stair,"[{'bf1': 'Back Stair'}, {'bf2': 'Back Stair'}]"
A,F1,Left Stair,"[{'af0': 'Left Stair'}, {'af2': 'Left Stair'}]"
A,F1,Right Stair,"[{'af0': 'Right Stair'}, {'af2': 'Right Stair'}]"
A,F1,Main Stair - Up,"[{'af2': 'Main Stair'}]"
A,F0,Main Stair,"[{'af1': 'Main Stair - Up'}, {'af2': 'Main Stair'}]"
A,F0,Right Stair,"[{'af1': 'Right Stair'}, {'af2': 'Right Stair'}]"
A,F0,Left Stair,"[{'af1': 'Left Stair'}, {'af2': 'Left Stair'}]"
A,F2,Main Stair,"[{'af1': 'Main Stair - Down Left'}, {'af1': 'Main Stair - Down Right'}, {'af0': 'Main Stair'}]"
A,F2,Left Stair,"[{'af1': 'Left Stair'}, {'af0': 'Left Stair'}]"
A,F2,Right Stair,"[{'af1': 'Right Stair'}, {'af0': 'Right Stair'}]"
B,F2,Back Stair,"[{'bf1': 'Back Stair'}, {'bf2': 'Back Stair'}]"
B,F2,Right Stair,"[{'bf1': 'Right Stair'}, {'bf2': 'Right Stair'}]"
B,F2,Front Stair,"[{'bf1': 'Right Stair'}]"
B,F2,Linkbridge,"[{'af1': 'Linkbridge'}]"
B,F2,Lift,"[{'bf0': 'Lift'}, {'bf1': 'Lift'}]"
B,F0,BA Corridor,"[{'af0': 'AB Corridor'}]"
A,F0,AB Corridor,"[{'bf0': 'BA Corridor'}]"
B,F0,Lift,"[{'bf1': 'Lift'}, {'bf2': 'Lift'}]"
B,F0,Main Stair ,"[{'bf1': 'Main Stair - Down'}]"